焼きとり串,1287,1287,5000,名詞,普通名詞,一般,*,*,*,焼きとり串,やきとりくし,やきとりくし,*,*,*,*,*
つくね串,1287,1287,5000,名詞,普通名詞,一般,*,*,*,つくね串,つくねくし,つくねくし,*,*,*,*,*
じゃがいもバター,1287,1287,5000,名詞,普通名詞,一般,*,*,*,じゃがいもバター,じゃがいもばたー,じゃがいもばたー,*,*,*,*,*
魚のあら汁,1287,1287,5000,名詞,普通名詞,一般,*,*,*,魚のあら汁,さかなのあらしる,さかなのあらしる,*,*,*,*,*
みそ汁,1287,1287,5000,名詞,普通名詞,一般,*,*,*,みそ汁,みそしる,みそしる,*,*,*,*,*
バニラアイス パッションソース,1287,1287,5000,名詞,普通名詞,一般,*,*,*,バニラアイス パッションソース,ばにらあいす ぱっしょんそーす,ばにらあいす ぱっしょんそーす,*,*,*,*,*
あしたばのアイス,1287,1287,5000,名詞,普通名詞,一般,*,*,*,あしたばのアイス,あしたばのあいす,あしたばのあいす,*,*,*,*,*
備考,1287,1287,5000,名詞,普通名詞,一般,*,*,*,備考,びこう,びこう,*,*,*,*,*
キリン一番しぼり 生,1287,1287,5000,名詞,普通名詞,一般,*,*,*,キリン一番しぼり 生,きりんいちばんしぼり なま,きりんいちばんしぼり なま,*,*,*,*,*
アサヒスーパードライ(大),1287,1287,5000,名詞,普通名詞,一般,*,*,*,アサヒスーパードライ(大),あさひすーぱーどらい(だい),あさひすーぱーどらい(だい),*,*,*,*,*
サッポロラガー(大),1287,1287,5000,名詞,普通名詞,一般,*,*,*,サッポロラガー(大),さっぽろらがー(だい),さっぽろらがー(だい),*,*,*,*,*
角ハイボール,1287,1287,5000,名詞,普通名詞,一般,*,*,*,角ハイボール,かくはいぼーる,かくはいぼーる,*,*,*,*,*
コーラハイボール,1287,1287,5000,名詞,普通名詞,一般,*,*,*,コーラハイボール,こーらはいぼーる,こーらはいぼーる,*,*,*,*,*
ジンジャーハイボール,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ジンジャーハイボール,じんじゃーはいぼーる,じんじゃーはいぼーる,*,*,*,*,*
レモンサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,レモンサワー,れもんさわー,れもんさわー,*,*,*,*,*
ライムサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ライムサワー,らいむさわー,らいむさわー,*,*,*,*,*
りんごサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,りんごサワー,りんごさわー,りんごさわー,*,*,*,*,*
オレンジサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,オレンジサワー,おれんじさわー,おれんじさわー,*,*,*,*,*
カルピスサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,カルピスサワー,かるぴすさわー,かるぴすさわー,*,*,*,*,*
スダチサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,スダチサワー,すだちさわー,すだちさわー,*,*,*,*,*
男うめサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,男うめサワー,おとこうめさわー,おとこうめさわー,*,*,*,*,*
ゆずみつサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ゆずみつサワー,ゆずみつさわー,ゆずみつさわー,*,*,*,*,*
シークワーサーサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,シークワーサーサワー,しーくわーさーさわー,しーくわーさーさわー,*,*,*,*,*
ウーロンハイ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ウーロンハイ,うーろんはい,うーろんはい,*,*,*,*,*
緑茶ハイ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,緑茶ハイ,りょくちゃはい,りょくちゃはい,*,*,*,*,*
チューハイ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,チューハイ,ちゅーはい,ちゅーはい,*,*,*,*,*
生レモンサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,生レモンサワー,なまれもんさわー,なまれもんさわー,*,*,*,*,*
生グレサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,生グレサワー,なまぐれさわー,なまぐれさわー,*,*,*,*,*
梅干しサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,梅干しサワー,うめぼしさわー,うめぼしさわー,*,*,*,*,*
パッションサワー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,パッションサワー,ぱっしょんさわー,ぱっしょんさわー,*,*,*,*,*
ビンビンハイ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ビンビンハイ,びんびんはい,びんびんはい,*,*,*,*,*
一本釣り,1287,1287,5000,名詞,普通名詞,一般,*,*,*,一本釣り,いっぽんつり,いっぽんつり,*,*,*,*,*
情け嶋,1287,1287,5000,名詞,普通名詞,一般,*,*,*,情け嶋,なさけしま,なさけしま,*,*,*,*,*
八重椿,1287,1287,5000,名詞,普通名詞,一般,*,*,*,八重椿,やえつばき,やえつばき,*,*,*,*,*
ジョナリー,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ジョナリー,じょなりー,じょなりー,*,*,*,*,*
鬼ごろし,1287,1287,5000,名詞,普通名詞,一般,*,*,*,鬼ごろし,おにごろし,おにごろし,*,*,*,*,*
江戸酎,1287,1287,5000,名詞,普通名詞,一般,*,*,*,江戸酎,えどちゅう,えどちゅう,*,*,*,*,*
ウーロン茶,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ウーロン茶,うーろんちゃ,うーろんちゃ,*,*,*,*,*
緑茶,1287,1287,5000,名詞,普通名詞,一般,*,*,*,緑茶,りょくちゃ,りょくちゃ,*,*,*,*,*
炭酸ボトル,1287,1287,5000,名詞,普通名詞,一般,*,*,*,炭酸ボトル,たんさんぼとる,たんさんぼとる,*,*,*,*,*
冷生酒,1287,1287,5000,名詞,普通名詞,一般,*,*,*,冷生酒,れいきざけ,れいきざけ,*,*,*,*,*
豪快(辛口),1287,1287,5000,名詞,普通名詞,一般,*,*,*,豪快(辛口),ごうかい(からくち),ごうかい(からくち),*,*,*,*,*
<芋>白波芋焼酎,1287,1287,5000,名詞,普通名詞,一般,*,*,*,<芋>白波芋焼酎,<いも>しらなみいもしょうちゅう,<いも>しらなみいもしょうちゅう,*,*,*,*,*
<麦>いいちこ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,<麦>いいちこ,<むぎ>いいちこ,<むぎ>いいちこ,*,*,*,*,*
梅酒,1287,1287,5000,名詞,普通名詞,一般,*,*,*,梅酒,うめしゅ,うめしゅ,*,*,*,*,*
ロックワイン,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ロックワイン,ろっくわいん,ろっくわいん,*,*,*,*,*
コカ･コーラ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,コカ･コーラ,こか･こーら,こか･こーら,*,*,*,*,*
ジンジャーエール,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ジンジャーエール,じんじゃーえーる,じんじゃーえーる,*,*,*,*,*
カルピス,1287,1287,5000,名詞,普通名詞,一般,*,*,*,カルピス,かるぴす,かるぴす,*,*,*,*,*
オレンジ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,オレンジ,おれんじ,おれんじ,*,*,*,*,*
ウーロン茶,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ウーロン茶,うーろんちゃ,うーろんちゃ,*,*,*,*,*
緑茶,1287,1287,5000,名詞,普通名詞,一般,*,*,*,緑茶,りょくちゃ,りょくちゃ,*,*,*,*,*
りんごジュース,1287,1287,5000,名詞,普通名詞,一般,*,*,*,りんごジュース,りんごじゅーす,りんごじゅーす,*,*,*,*,*
パッションジュース,1287,1287,5000,名詞,普通名詞,一般,*,*,*,パッションジュース,ぱっしょんじゅーす,ぱっしょんじゅーす,*,*,*,*,*
島ずしランチ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,島ずしランチ,しまずしらんち,しまずしらんち,*,*,*,*,*
島丼ランチ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,島丼ランチ,しまどんぶりらんち,しまどんぶりらんち,*,*,*,*,*
お刺身ランチ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,お刺身ランチ,おさしみらんち,おさしみらんち,*,*,*,*,*
いくらとまぐろ丼ランチ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,いくらとまぐろ丼ランチ,いくらとまぐろどんぶりらんち,いくらとまぐろどんぶりらんち,*,*,*,*,*
源い天丼ランチ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,源い天丼ランチ,げんいてんどんらんち,げんいてんどんらんち,*,*,*,*,*
日替りランチ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,日替りランチ,にちかえりらんち,にちかえりらんち,*,*,*,*,*
あら煮ランチ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,あら煮ランチ,あらにらんち,あらにらんち,*,*,*,*,*
セットソフトドリンク,1287,1287,5000,名詞,普通名詞,一般,*,*,*,セットソフトドリンク,せっとそふとどりんく,せっとそふとどりんく,*,*,*,*,*
